Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AZERBAIJAN,East Asia and the Pacific,Thousands,,,3.0,4.0,6.0,7.0,7.0,8.0,16.0,14.0,15.0,15.0,15.8,19.6,20.1,19.5,22.6,30.1,43.0,59.2,5.9,6.0,16.9
AZERBAIJAN,Europe,Thousands,359.0,272.0,582.0,747.0,1051.0,945.0,1008.0,1104.0,1541.0,1454.0,1568.0,1787.0,2147.6,2306.4,2108.5,1795.3,1799.4,1971.9,2104.8,2376.0,647.8,602.5,1066.5
AZERBAIJAN,Middle East,Thousands,,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,5.6,5.4,9.3,137.6,260.7,331.1,314.3,40.9,38.0,204.4
AZERBAIJAN,South Asia,Thousands,242.0,322.0,241.0,253.0,275.0,211.0,165.0,205.0,317.0,340.0,356.0,414.0,292.5,151.7,139.5,159.8,258.5,397.3,326.5,374.4,94.5,134.5,288.8
AZERBAIJAN,Other not classified,Thousands,79.0,173.0,,,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.9,1.8,1.6,8.1,7.3,8.5,6.6,0.5,2.3,0.8
AZERBAIJAN,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BAHAMAS,Total,Thousands,1543.9,1537.8,1512.8999999999999,1505.1,1560.67,1625.3,1613.29,1537.9999999999998,1469.4699999999998,1335.9,1378.2300000000002,1355.0600000000002,1430.9000000000003,1377.1,1443.6000000000001,1496.2,1498.7,1452.1,1632.7000000000003,1807.0,440.5,892.4000000000001,1452.48
BAHAMAS,Africa,Thousands,1.6,0.5,1.2,1.7,1.7,1.7,2.0,2.2,2.0,2.0,1.9,2.0,2.4,2.3,2.6,3.0,2.7,3.0,2.9,3.4,1.0,2.0,3.0
BAHAMAS,Americas,Thousands,1406.5,1417.6,1406.2,1389.3,1454.0,1516.9,1508.6,1428.2,1351.47,1234.45,1275.63,1252.46,1325.4,1269.2,1328.2,1372.0,1370.6,1313.6,1486.2,1664.5,409.6,868.7,1383.1
BAHAMAS,East Asia and the Pacific,Thousands,15.5,11.4,8.1,7.8,8.4,8.8,8.49,8.1,8.3,7.45,8.6,8.1,9.5,9.2,10.3,12.2,12.0,13.9,14.7,13.9,2.2,2.2,5.75
